communityName,Type,BfZ,KP,all2019,ind2019,sheltInd2019,unsheltInd2019,chind2019
San Jose/Santa Clara City & County CoC,Major City CoC,,,9706,8785,1106,7679,2353
San Luis Obispo County CoC,Largely Suburban CoC,,,1483,1261,173,1088,261
"Santa Ana, Anaheim/Orange County CoC",Largely Suburban CoC,,,6860,5310,1745,3565,2471
Santa Fe City,Largely Rural CoC,x,,1717,1240,597,643,719
Santa Maria/Santa Barbara County CoC,Largely Suburban CoC,,,1803,1435,344,1091,401
"Santa Rosa, Petaluma/Sonoma County CoC",Largely Suburban CoC,,,2951,2672,741,1931,653
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",Largely Suburban CoC,,,1135,975,584,391,241
Savannah/Chatham County CoC,Other Largely Urban CoC,,,686,578,347,231,182
Schenectady City & County CoC,Largely Suburban CoC,,,372,231,209,22,24
Scranton/Lackawanna County CoC,Largely Suburban CoC,,,186,142,133,9,12
Seattle/King County CoC,Major City CoC,,,11199,8748,3583,5165,2034
"Shreveport, Bossier/Northwest Louisiana CoC",Other Largely Urban CoC,,,292,218,158,60,41
"Sioux City/Dakota, Woodbury Counties CoC",Other Largely Urban CoC,,,255,162,155,7,21
Slidell/Southeast Louisiana CoC,Largely Suburban CoC,,,215,193,131,62,18
Somerset County CoC,Largely Suburban CoC,,,301,197,191,6,7
Somerville CoC,Largely Suburban CoC,,,127,95,85,10,23
South Central Illinois CoC,Largely Rural CoC,,,94,59,32,27,3
South Dakota Statewide CoC,Largely Rural CoC,,,995,725,504,221,81
South-Southeast Puerto Rico CoC,Largely Suburban CoC,,,1190,1139,191,948,311
Southeast Arkansas CoC,Largely Rural CoC,,,75,35,35,0,0
Southeastern Oklahoma Regional CoC,Largely Rural CoC,,,293,197,164,33,20
Southern Illinois CoC,Largely Rural CoC,,,294,178,134,44,18
Southwest Minnesota CoC,Largely Rural CoC,,,88,30,24,6,3
Southwest Oklahoma Regional CoC,Largely Rural CoC,,,158,90,71,19,9
Spokane City and County CoC,Other Largely Urban CoC,x,,1309,1007,711,296,231
Springfield CoC,Largely Suburban CoC,x,,2443,373,331,42,69
"Springfield/Greene, Christian, Webster Counties CoC",Other Largely Urban CoC,,,492,335,254,81,107
Springfield/Sangamon County CoC,Other Largely Urban CoC,,,284,204,179,25,57
"St. Charles City & County, Lincoln, Warren Counties CoC",Largely Suburban CoC,,,438,237,143,94,18
"St. Clair Shores, Warren/Macomb County CoC",Largely Suburban CoC,,,265,193,175,18,12
St. Cloud/Central Minnesota CoC,Largely Rural CoC,,,679,332,174,158,64
